do_nms,iou_threshold,score_threshold,filter_too_big,correct,correct_box,incorrect,undetected
True,0.2,0.52,True,6,43,24,494
True,0.2,0.52,False,5,54,175,437
True,0.2,0.53,True,6,40,23,497
True,0.2,0.53,False,5,52,166,439
True,0.2,0.54,True,6,40,22,497
True,0.2,0.54,False,5,52,157,440
True,0.2,0.55,True,6,40,21,497
True,0.2,0.55,False,5,52,150,440
True,0.2,0.56,True,6,37,20,500
True,0.2,0.56,False,5,49,144,442
True,0.2,0.57,True,6,36,17,501
True,0.2,0.57,False,5,47,141,442
True,0.2,0.58,True,6,35,17,502
True,0.2,0.58,False,5,47,139,442
True,0.2,0.59,True,6,35,16,502
True,0.2,0.59,False,5,46,136,442
True,0.2,0.6,True,6,34,16,503
True,0.2,0.6,False,5,45,129,443
True,0.2,0.61,True,6,33,15,505
True,0.2,0.61,False,5,44,124,443
True,0.2,0.62,True,6,32,14,506
True,0.2,0.62,False,5,43,122,443
True,0.2,0.63,True,6,30,13,508
True,0.2,0.63,False,5,43,119,443
True,0.2,0.64,True,6,29,12,510
True,0.2,0.64,False,5,42,119,443
True,0.2,0.65,True,6,29,11,510
True,0.2,0.65,False,5,42,116,444
True,0.2,0.66,True,6,29,8,510
True,0.2,0.66,False,5,41,110,444
True,0.2,0.67,True,6,29,6,512
True,0.2,0.67,False,5,41,106,445
True,0.2,0.68,True,6,28,5,513
True,0.2,0.68,False,5,39,103,447
True,0.2,0.69,True,6,26,4,515
True,0.2,0.69,False,5,38,100,448
True,0.2,0.7,True,6,26,3,515
True,0.2,0.7,False,5,38,97,449
True,0.2,0.71,True,5,23,3,518
True,0.2,0.71,False,4,36,94,451
True,0.2,0.72,True,5,22,3,519
True,0.2,0.72,False,4,34,94,452
True,0.2,0.73,True,5,22,3,519
True,0.2,0.73,False,4,32,94,453
True,0.2,0.74,True,5,22,3,519
True,0.2,0.74,False,4,30,94,453
True,0.2,0.75,True,5,22,3,519
True,0.2,0.75,False,3,29,94,453
True,0.2,0.76,True,5,21,3,520
True,0.2,0.76,False,3,28,94,454
